 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
max !!! 
75 12421  
76 10923  
79 06306  
80 04989  
81 21474  
82 07187  
84 16294  
85 13583  
87 14615  
88 13725  
89 10690  
22 23112  
23 11299  
24 08251  
26 11366  
28 00996  
29 00935  
30 13600  
31 16032  
32 16493  
33 13229  
34 13778  
35 15895  
37 08853  
38 16021  
41 10033  
42 19619  
1 09440  
2 10227  
3 16312  
4 16539  
5 09336  
6 15160  
8 13187  
10 14387  
11 02264  
12 07390  
13 11969  
14 16985  
15 18048  
17 16151  
18 18946  
20 21710  
21 03224  
   
1   
1 200  
   
1 200  
1   
