1;8663
2;9427
3;15285
4;15266
5;8158
6;13986
7;16677
8;11882
9;12614
10;12696
11;1772
12;5865
13;10911
14;15428
15;16319
16;15493
17;14825
18;17300
19;11840
20;20030
21;2586
22;19356
23;9777
24;7638
25;14223
26;10167
27;9355
28;258
29;312
30;12674
31;15343
32;15191
33;11821
34;12703
35;14672
36;12439
37;7954
38;13819
39;8240
40;16106
41;9390
42;18168
43;15446
44-1;7097
44-2;11033
45;9112
46;8466
47;6047
48;9710
49;14135
50;9295
51;8323
52;5365
53;5419
54-1;8604
54-2;9755
55;10837
56;9129
57;11198
58;7952
59;12141
60;13101
61;7519
62;13311
63;13930
64;12831
65;14654
66-1;12187
66-2;8076
67;16056
68;6981
69;15704
70;11397
71;8058
72;11682
73;10469
74;13523
75;8432
76;5022
77;4396
78;19709
79;6485
80;16646
81;13955
82;12059
83;10379
84;12374
85;11832
86;9086
87;12467
88;9249
